问题,浏览量,关注量,回答量,赞同量,点击率
男子开小米 SU7 冲撞摩托俱乐部，警方通报「因口角纠纷持刀伤人致 1 死」，具体情况如何？,12932167,5248,3444,87923,14.72
京东是否已经顺利度过这次风波?,7131539,2201,1287,211825,26.54
和异性最疯狂有多疯狂？,2356505,443,84,33749,24.83
性在婚姻生活中真的重要吗?,1921865,601,164,10522,28.81
如何一眼看出两个人私下里发生了秘密关系？,3741465,539,69,22981,28.97
如何看待京东大规模阻止用户注销京东金融？,5874905,2566,903,183803,25.26
京东这次代言风波事件能持续多久？,8321302,1744,899,241779,27.15
你捡过最大的漏是什么？,3335556,177,30,45680,24.74
如何看待付航夺冠，小鹿惜败？,4980014,1347,1019,109819,23.77
京东事件如何收场?,4275371,1530,909,149805,27.61
女生主动起来会有多主动?,1931808,226,48,16895,29.44
有哪些惊为天人的cosplay？,3620054,344,47,71182,28.72
有什么无限免费的ai写作?,1826812,995,281,9,2.67
你最意外的一笔收入是什么？,2042454,145,60,30138,25.46
一个没有性张力的人的明显标志是什么？,1768433,174,56,13503,31.05
因为这个表情包，被女朋友误解我把她当成鸡，要跟我分手，怎么办？,3276901,771,335,48414,31.77
有没有什么巨爽无比的爽文？,1241329,143,49,14611,21.71
你理想中的完美户型长什么样？,1522647,400,64,5097,23.79
兄妹之间出现这样的聊天是否正常?,2256036,163,44,26119,25.21
杨笠为什么会被骂得这么狠？,2594420,1545,1306,47238,23.64
如何看待金星发文向广州文旅局讨要说法?,2756009,1755,1214,97369,23.48
为什么脱口秀大会底下观众都是女生？,1996416,424,211,60800,28.1
如何看待重庆某高校女生要求禁止男生进入健身房？,2708988,1324,775,91512,26.53
为什么现在的男生都不主动了呢？,1544112,261,100,27492,28.14
高振宁直播称「《英雄联盟》有城墙这个英雄吗？我玩游戏不用多读书」这句话对电竞圈的伤害有多大？,4052556,990,547,25899,22.68
舔狗经济真的要崩盘了吗？还是我们都困在了信息茧房里？,2559631,457,170,56524,24.92
京东此次失败的公关会造成大规模挤兑吗？,4859117,989,373,120833,28.13
京东是否已经形成挤兑趋势了?,3075196,863,395,88970,28.66
你有什么莫名其妙的生理反应？,1372612,264,96,9897,23.36
大家觉得京东会怎样处理杨笠代言的这件事？,3637784,1162,554,92163,25.33
为什么是女性生的孩子，当要求男方共同养育但是孩子与女方同姓时却这么困难？,1121554,1878,1803,13530,20.3
弱弱的问一下，真的有不嫖、不赌，不抽烟，不喝酒，不家暴，愿意做饭的男人吗？,901932,7403,7144,22168,15.59
真正的狠人是什么样的？,1103835,197,26,21052,23.34
有哪些反直觉的历史事实？,1089090,327,73,26252,27.34
如何评价京东在10月23日深夜至10月24日凌晨在B站发动的商单攻势？,3070303,1323,462,91142,23.51
中餐晚餐一荤一素要求高吗?,792561,516,383,7219,23.78
天津多家肯德基门店被立案调查，使用转基因大豆油参与生产加工未公示，转基因油有什么不同？是否会危害健康？,1831822,1906,1204,71161,17.23
什么台词让你记住了一整部动漫？,680917,220,60,16274,26.38
如何看待京东向各媒体发出「关于京东杨笠话题的撤稿函」？,2185055,1998,1039,79538,23.32
恩格尔系数适不适合中国？,1411194,266,160,53623,26.61
如何评价 Linux 内核大规模从维护者名单中移除疑似俄开发者，除非开发者出示文件自证不受制裁？,2476066,1835,555,32443,19.15
为什么汉服活动中，女生占比超过了70%，却没有吸引相同数量的男生参与呢？,1555694,347,200,71710,28.19
有哪些伪传统？,1703949,499,154,70063,27.72
大家的大学老师都有过哪些逆天发言呢？,1156830,208,65,34923,25.08
你们见过最雷的同人文是怎么样的？,735008,226,43,28137,23.04
我想找个这样的男朋友难吗?,977059,265,135,6052,30.31
如何看待陕西西安冰晶顶情侣失温身亡？,2438840,701,335,32505,23.88
如何看待 LOL 选手 Ning 因解说风格问题开团解说王多多？,2919493,791,614,27624,19.97
今天的你存款有多少？,1076214,343,111,7015,22.14
如何看待国企明年要打破铁饭碗？,1609988,1001,359,32085,25.55
为什么百度贴吧还不凉？,875027,141,20,22469,26.13
追妻火葬场真的能追回来吗？,813847,91,25,6392,22.4
京东股票情况已经更新，下跌幅度很低，这能说明什么情况？,1549471,989,727,76207,24.23
知乎上有没有双男主的文?,417621,80,16,9460,23.26
为什么老顾客吃着吃着就不再来照顾生意了呢？,897719,71,38,15969,23.46
有没有文笔好到会让你二刷的古言小说？,899629,67,19,10740,27.43
为什么现在年轻人越来越讨厌相亲？,1669581,423,151,23904,26.21
有没有女主活的很清醒的文？,627666,78,10,6903,26.88
为什么有的人对学舞蹈的女孩子有偏见？,831741,315,141,19356,24.22
有哪些瞬间你秒懂了别人的暗示？,2555436,138,8,18752,24.0
微信头像会影响第一印象吗？,1248342,208,60,26655,24.85
我想问一下什么是爱呢？,444852,362,123,13662,27.4
网络被骗四十多万，老公跟我都疏远了好多，我该怎么办？,1766239,399,110,29565,28.04
人类真的想象不出从来没见过的东西吗？,1276416,190,50,23269,28.91
